Filename,Ground Truth,Prediction,Postprocessed,Inference Time,WER,CER,RTF
05ba63b9-b01a-41cd-b8e4-8d98f5baf332.wav,gamma seven engaged, Karma 7 Engage,karma seven engage,1.8772,66.67%,15.79%,0.7586
0f4f029b-5392-460c-b85f-5380839d2e7f.wav,beta one in nine thousand, 被他玩耳奈招手,被他玩耳奈招手,0.8019,100.00%,100.00%,0.2489
1a055188-b1e1-4ddc-bd9e-c2c1bcee88f6.wav,beta one off two zero zero," Beta 1 of 2, 0, 0",beta one of two zero zero,0.9359,16.67%,3.85%,0.2659
1a81d3f6-3216-4a35-af0b-d0f0fa846b3e.wav,gamma seven clear for takeoff, Gamma 7 clear for takeoff.,gamma seven clear for takeoff,0.9144,0.00%,0.00%,0.4122
1d7186d6-8a4c-4f61-97e3-7baac1d5e847.wav,mission complete, Mission complete.,mission complete,0.7437,0.00%,0.00%,0.4469
2da33b93-bac3-4095-8ac4-524fff253a47.wav,gamma seven engaged, Kama 7 in 8,kama seven in eight,0.6025,100.00%,42.11%,0.2796
32e81d2b-ff33-4b7d-abb1-da468872a16d.wav,bravo nine heading, Bravo Nai Handy,bravo nai handy,3.6223,66.67%,44.44%,0.9815
33d9721a-9c6b-4a19-ad62-2aff83309b39.wav,delta three off, Lose her to chim trousers,lose her to chim trousers,4.3186,166.67%,133.33%,1.9098
3cf637b5-62c5-4628-8575-ce83cbe8a6b2.wav,holding hands, All the enhance.,all the enhance,0.7738,150.00%,76.92%,0.6364
512f290c-f06d-487b-bac9-178246cba1d0.wav,gama one holding hands, 家媽玩好靈犬。,家媽玩好靈犬。,0.8875,100.00%,100.00%,0.2909
57dcd0c7-bdc8-4b1a-b339-927d4d28c4fe.wav,mission complete, Mission complete.,mission complete,0.5798,0.00%,0.00%,0.3355
5ec499a9-4b40-4e88-b383-540fcb4b3905.wav,mission complete, Mission Complete,mission complete,0.6490,0.00%,0.00%,0.2142
628608c6-4d9e-4779-93bb-7e1f36cdeb4f.wav,beta zero two zero zero," Beta zero, two zero zero.",beta zero two zero zero,0.7203,0.00%,0.00%,0.2084
6423822e-35f3-4bfd-ac94-b84cbde0f67e.wav,delta three off, Delta 3 off.,delta three off,0.5827,0.00%,0.00%,0.2439
6a6708e4-b8da-4554-98a8-61e342127b7a.wav,alpha one scramble, Alpha 1's,alpha one s,4.0067,33.33%,38.89%,1.4673
7bc5a8a0-036c-4def-9de9-0709fff7f795.wav,holding hands, Holding hands.,holding hands,0.7007,0.00%,0.00%,0.4105
81da6eae-b3e6-4161-9e80-8b1b450ee2c0.wav,holding hands, Holding Hands,holding hands,0.6740,0.00%,0.00%,0.3009
8202755b-cc89-4801-9cb4-f3b6b2b5f9d3.wav,beta zero two zero zero, Beta zero two zero zero,beta zero two zero zero,0.9421,0.00%,0.00%,0.2795
85a5da38-79be-4ab7-8391-86a19bce899b.wav,delta five off three thousand, Data file of 3000,data file of three thousand,0.8847,60.00%,13.79%,0.2279
860a72ca-46df-4fa0-8085-6b0552765cd7.wav,delta five off three thousand, Delta 5 of 3000,delta five of three thousand,0.8813,20.00%,3.45%,0.2474
88d5f6c9-8689-4354-8fd4-d333ab154991.wav,alpha eight cleared to land runway two one, Alpha 8 clear to land runway 21,alpha eight clear to land runway two one,0.9523,12.50%,4.76%,0.2413
8922cfbe-7f64-4847-9552-a2708c157c9e.wav,delta five off three thousand, Delta 5 of 3000,delta five of three thousand,0.8700,20.00%,3.45%,0.2502
8cf93a28-3a24-461c-ad11-fba4f07aea0f.wav,alfa four angle one eight zero, Alpha 4 and Go 1 and 0.,alpha four and go one and zero,0.7346,66.67%,36.67%,0.3047
