Filename,Ground Truth,Prediction,Postprocessed,Inference Time,WER,CER,RTF
05ba63b9-b01a-41cd-b8e4-8d98f5baf332,gamma seven engaged,dma seven engage,dma seven engage,0.0851,66.67%,21.05%,0.0344
0f4f029b-5392-460c-b85f-5380839d2e7f,beta one in nine thousand,beta one in nine thousand,beta one in nine thousand,0.0761,0.00%,0.00%,0.0236
1a055188-b1e1-4ddc-bd9e-c2c1bcee88f6,beta one off two zero zero,beta one of two zero liver,beta one of two zero liver,0.0762,33.33%,19.23%,0.0216
1a81d3f6-3216-4a35-af0b-d0f0fa846b3e,gamma seven clear for takeoff,gama seven click for takeoff,gama seven click for takeoff,0.0744,40.00%,13.79%,0.0335
1d7186d6-8a4c-4f61-97e3-7baac1d5e847,mission complete,mission complete,mission complete,0.0739,0.00%,0.00%,0.0444
2da33b93-bac3-4095-8ac4-524fff253a47,gamma seven engaged,gama seven in age,gama seven in age,0.0735,100.00%,21.05%,0.0341
32e81d2b-ff33-4b7d-abb1-da468872a16d,bravo nine heading,ravo nine handy,ravo nine handy,0.0756,66.67%,33.33%,0.0205
33d9721a-9c6b-4a19-ad62-2aff83309b39,delta three off,delta seal of,delta seal of,0.0738,66.67%,40.00%,0.0326
3cf637b5-62c5-4628-8575-ce83cbe8a6b2,holding hands,holding hands,holding hands,0.0737,0.00%,0.00%,0.0606
512f290c-f06d-487b-bac9-178246cba1d0,gama one holding hands,gama one holding hand,gama one holding hand,0.0751,25.00%,4.55%,0.0246
57dcd0c7-bdc8-4b1a-b339-927d4d28c4fe,mission complete,motion complete,motion complete,0.0729,50.00%,18.75%,0.0422
5ec499a9-4b40-4e88-b383-540fcb4b3905,mission complete,me complete,me complete,0.0749,50.00%,37.50%,0.0247
628608c6-4d9e-4779-93bb-7e1f36cdeb4f,beta zero two zero zero,beta zero to zero zero,beta zero to zero zero,0.0763,20.00%,4.35%,0.0221
6423822e-35f3-4bfd-ac94-b84cbde0f67e,delta three off,delta three of,delta three of,0.0744,33.33%,6.67%,0.0311
6a6708e4-b8da-4554-98a8-61e342127b7a,alpha one scramble,r one scramble,r one scramble,0.0743,33.33%,27.78%,0.0272
7bc5a8a0-036c-4def-9de9-0709fff7f795,holding hands,holding hands,holding hands,0.0749,0.00%,0.00%,0.0439
81da6eae-b3e6-4161-9e80-8b1b450ee2c0,holding hands,holding hands,holding hands,0.0743,0.00%,0.00%,0.0332
8202755b-cc89-4801-9cb4-f3b6b2b5f9d3,beta zero two zero zero,be has zero to these one zero,be has zero to these one zero,0.0758,100.00%,47.83%,0.0225
85a5da38-79be-4ab7-8391-86a19bce899b,delta five off three thousand,data five of three thousand,data five of three thousand,0.0763,40.00%,10.34%,0.0196
860a72ca-46df-4fa0-8085-6b0552765cd7,delta five off three thousand,delta five of three thousand,delta five of three thousand,0.0750,20.00%,3.45%,0.0210
88d5f6c9-8689-4354-8fd4-d333ab154991,alpha eight cleared to land runway two one,after eight clear to then runway two one,after eight clear to then runway two one,0.0762,37.50%,23.81%,0.0193
8922cfbe-7f64-4847-9552-a2708c157c9e,delta five off three thousand,delta five of three thousand,delta five of three thousand,0.1041,20.00%,3.45%,0.0299
8cf93a28-3a24-461c-ad11-fba4f07aea0f,alfa four angle one eight zero,aar four angle goal one and zero,aar four angle goal one and zero,0.0744,50.00%,40.00%,0.0309
8f20d6c4-2a50-4232-8201-2ce0a5763cd1,beta two engaged,better to engage,better to engage,0.0738,100.00%,31.25%,0.0268
934ce005-732c-4e18-b04c-fb34a96688b0,auo property,a u property,a u property,0.0741,100.00%,16.67%,0.0322
977ce7e4-10b6-44d7-b8b5-c5b1c0ed7295,cleared for takeoff,cleared for take off,cleared for take off,0.0749,66.67%,5.26%,0.0229
9b1b39e9-cd09-4169-9083-30833f5409ac,beta three holding hands,beta three hot handss,beta three hot handss,0.0766,50.00%,25.00%,0.0413
9b5c1e31-ebeb-42d2-aa5e-4886ad9a4540,beta two engaged,better to engage,better to engage,0.0736,100.00%,31.25%,0.0397
9d0fc2d3-57d8-48ff-9ff8-6059859d2e75,alpha four in two seven zero,afa four in two seven zero,afa four in two seven zero,0.0841,16.67%,10.71%,0.0323
9e244a94-6b20-43ab-bf46-9c72bd6afc2a,cleared for takeoff,clear for takeoff,clear for takeoff,0.0750,33.33%,10.53%,0.0268
9efbf031-80e1-4b4c-9818-f087b8e5bb8f,delta three off,data free of,data free of,0.0734,100.00%,33.33%,0.0325
a4561da5-7097-47ec-8500-615ad425478f,beta one in nine thousand,beta one in nine thousands,beta one in nine thousands,0.0741,20.00%,4.00%,0.0300
a5b8c7d1-8db0-4971-b24b-38102170817b,gamma two go cover three six zero,comma to go cover three six zero,comma to go cover three six zero,0.0759,28.57%,9.09%,0.0194
a5c4bf41-bb19-4a99-bb75-c701ef096009,bravo seven mission complete,bove of seven mission complete,bove of seven mission complete,0.0755,50.00%,17.86%,0.0264
ad5aaeb4-8e36-4544-90da-0925eccf12a3,mission complete,mission company,mission company,0.0749,50.00%,25.00%,0.0344
b5e1fd8a-4b8a-4844-b1e7-a0dee235294a,alfa four angle one eight zero,a five four angle one a zero,a five four angle one a zero,0.0766,50.00%,30.00%,0.0158
bdab1b76-81ee-461a-b82a-5af8a6ee520a,delta three off,selta for you,selta for you,0.0858,100.00%,53.33%,0.0398
bed24e0b-2b05-4ab6-b741-38398d38f0a4,delta one off,delta one of,delta one of,0.0753,33.33%,7.69%,0.0271
c729e3e1-4372-4f25-87e2-a5c82fd2d148,delta one scramble,delta one scramblem,delta one scramblem,0.0739,33.33%,5.56%,0.0433
c9a5a879-403c-4a42-ba84-b6367adc88c2,mission complete,mission complete,mission complete,0.0744,0.00%,0.00%,0.0415
cc03b073-87aa-4697-9e42-2a12c6c62c11,alpha two go cover one o one,af far to go cover one oh one,af far to go cover one oh one,0.0769,57.14%,21.43%,0.0160
ce962a89-296a-4ab1-aaba-e66203a886d4,gamma nine engaged,cama night engage,cama night engage,0.0757,100.00%,33.33%,0.0263
d0458c64-6333-471a-b38c-b6c03d65083f,delta one scramble,delta one scramble,delta one scramble,0.0742,0.00%,0.00%,0.0198
d7850d3c-4cb5-4173-8283-929eabc64577,delta three off,delta three of,delta three of,0.0744,33.33%,6.67%,0.0260
d7ec8e61-6556-4002-836c-be657dddb214,holding hands,holding hands,holding hands,0.0742,0.00%,0.00%,0.0278
