Filename,Ground Truth,Prediction,Postprocessed,Inference Time,WER,CER,RTF
05ba63b9-b01a-41cd-b8e4-8d98f5baf332,gamma seven engaged,가마세븐 엔게이츠,가마세븐 엔게이츠,2.5360,100.00%,94.74%,1.0248
0f4f029b-5392-460c-b85f-5380839d2e7f,beta one in nine thousand,被台灣迎來早上,被台灣迎來早上,0.8223,100.00%,100.00%,0.2553
1a055188-b1e1-4ddc-bd9e-c2c1bcee88f6,beta one off two zero zero,Beta 1 of 2 0 0,beta one of two zero zero,0.7330,16.67%,3.85%,0.2082
1a81d3f6-3216-4a35-af0b-d0f0fa846b3e,gamma seven clear for takeoff,Karma 7 Clear for take off,karma seven clear for take off,0.7224,60.00%,10.34%,0.3256
1d7186d6-8a4c-4f61-97e3-7baac1d5e847,mission complete,Mission complete.,mission complete,0.5847,0.00%,0.00%,0.3514
2da33b93-bac3-4095-8ac4-524fff253a47,gamma seven engaged,Kama 7 in 8,kama seven in eight,0.6509,100.00%,42.11%,0.3021
32e81d2b-ff33-4b7d-abb1-da468872a16d,bravo nine heading,Bravo Nai Handy,bravo nai handy,0.5865,66.67%,44.44%,0.1589
33d9721a-9c6b-4a19-ad62-2aff83309b39,delta three off,丟他睡友,丟他睡友,0.6501,100.00%,100.00%,0.2875
3cf637b5-62c5-4628-8575-ce83cbe8a6b2,holding hands,All the enhance.,all the enhance,0.6205,150.00%,76.92%,0.5102
512f290c-f06d-487b-bac9-178246cba1d0,gama one holding hands,加碼玩好點行,加碼玩好點行,0.7523,100.00%,100.00%,0.2466
57dcd0c7-bdc8-4b1a-b339-927d4d28c4fe,mission complete,Mission complete.,mission complete,0.5876,0.00%,0.00%,0.3400
5ec499a9-4b40-4e88-b383-540fcb4b3905,mission complete,Mission Complete,mission complete,0.5521,0.00%,0.00%,0.1823
628608c6-4d9e-4779-93bb-7e1f36cdeb4f,beta zero two zero zero,베타지로 출지조리로,베타지로 출지조리로,0.8258,100.00%,95.65%,0.2389
6423822e-35f3-4bfd-ac94-b84cbde0f67e,delta three off,Delta 3 off.,delta three off,0.6222,0.00%,0.00%,0.2604
6a6708e4-b8da-4554-98a8-61e342127b7a,alpha one scramble,阿發萬事關播,阿發萬事關播,0.6895,100.00%,100.00%,0.2525
7bc5a8a0-036c-4def-9de9-0709fff7f795,holding hands,Holding hands.,holding hands,0.5858,0.00%,0.00%,0.3433
81da6eae-b3e6-4161-9e80-8b1b450ee2c0,holding hands,Holding Hands,holding hands,0.5871,0.00%,0.00%,0.2621
8202755b-cc89-4801-9cb4-f3b6b2b5f9d3,beta zero two zero zero,Beta zero two zero zero,beta zero two zero zero,0.6624,0.00%,0.00%,0.1965
85a5da38-79be-4ab7-8391-86a19bce899b,delta five off three thousand,Data file of 3000,data file of three thousand,0.6276,60.00%,13.79%,0.1616
860a72ca-46df-4fa0-8085-6b0552765cd7,delta five off three thousand,Dilta 5 of 3000,dilta five of three thousand,0.6962,40.00%,6.90%,0.1954
88d5f6c9-8689-4354-8fd4-d333ab154991,alpha eight cleared to land runway two one,Alpha 8 clear to land runway 21,alpha eight clear to land runway two one,0.7442,12.50%,4.76%,0.1886
8922cfbe-7f64-4847-9552-a2708c157c9e,delta five off three thousand,Delta 5 of 3000,delta five of three thousand,0.6223,20.00%,3.45%,0.1789
8cf93a28-3a24-461c-ad11-fba4f07aea0f,alfa four angle one eight zero,Alpha 4 and Go 1 and 0.,alpha four and go one and zero,0.7647,66.67%,36.67%,0.3172
8f20d6c4-2a50-4232-8201-2ce0a5763cd1,beta two engaged,Beta 2 Engage,beta two engage,0.6591,33.33%,6.25%,0.2395
934ce005-732c-4e18-b04c-fb34a96688b0,auo property,AUO Property,auo property,0.5896,0.00%,0.00%,0.2559
977ce7e4-10b6-44d7-b8b5-c5b1c0ed7295,cleared for takeoff,Cleared for takeoff.,cleared for takeoff,0.6938,0.00%,0.00%,0.2126
9b1b39e9-cd09-4169-9083-30833f5409ac,beta three holding hands,Beta 3 holding hands.,beta three holding hands,0.6647,0.00%,0.00%,0.3581
9b5c1e31-ebeb-42d2-aa5e-4886ad9a4540,beta two engaged,Beta 2 in the G,beta two in the g,0.6942,100.00%,37.50%,0.3741
